class,cbo,wmc,lcom
com.alibaba.druid.sql.visitor.ParameterizedOutputVisitorUtils,36,99,188
com.alibaba.druid.bvt.sql.oracle.OracleAnyTest,3,1,0
com.alibaba.druid.spring.boot3.testcase.DruidFilterTestCase,8,1,0
com.alibaba.druid.bvt.pool.CreateSchedulerTest,2,5,0
com.alibaba.druid.bvt.pool.property.PropertyTest_useGlobalDataSourceStat,2,3,0
com.alibaba.druid.sql.dialect.oracle.ast.expr.OracleAnalyticTest,5,1,0
com.alibaba.druid.pool.ha.selector.StickyRandomDataSourceSelector,8,17,22
com.alibaba.druid.proxy.jdbc.JdbcParameterImpl,1,10,0
com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlShowAuthorsStatement,3,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest94,4,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest95,4,1,0
com.alibaba.druid.bvt.pool.DruidDataSourceTest_autocommit,3,3,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest92,4,1,0
com.alibaba.druid.sql.ast.statement.SQLAlterTableImportPartition,5,7,2
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest93,4,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest90,4,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest91,4,1,0
com.alibaba.druid.pool.DruidTest,2,12,13
com.alibaba.druid.sql.parser.SQLCommentTest,2,2,1
com.alibaba.druid.bvt.filter.FilterChainImplTest3$Anonymous2$Anonymous3,0,1,0
com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlShowTopologyStatement,7,12,29
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest96,4,1,0
com.alibaba.druid.proxy.jdbc.JdbcParameterDecimal,2,9,13
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest97,4,1,0
com.alibaba.druid.bvt.filter.wall.mysql.MySqlWallTest151_update,4,1,0
com.alibaba.druid.bvt.proxy.filter.GlobalStatTest1,2,5,0
com.alibaba.druid.bvt.sql.mysql.select.MySqlSelectTest_299_mtr,2,1,0
com.alibaba.druid.bvt.proxy.filter.GlobalStatTest0,2,5,0
com.alibaba.druid.pool.PoolableWrapper,3,19,0
com.alibaba.druid.support.opds.udf.SqlCodeStat$CodeStatVisitor,40,52,0
com.alibaba.druid.util.HexBin,3,20,3
com.alibaba.druid.bvt.filter.StatFilterExecErrorTest,4,4,0
com.alibaba.druid.bvt.sql.mysql.select.MySqlSelectTest_58_alias_dot,4,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest83,3,1,0
com.alibaba.druid.bvt.sql.mysql.select.MySqlSelectTest_316_json_table,3,4,6
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest84,3,1,0
com.alibaba.druid.sql.dialect.oscar.ast.OscarObjectImpl,5,3,3
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest81,2,1,0
com.alibaba.druid.sql.dialect.oracle.ast.stmt.OracleLockTableStatement$LockMode,0,5,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest82,2,1,0
com.alibaba.druid.sql.dialect.oracle.ast.stmt.OracleSelectJoin,11,31,66
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest80,2,1,0
com.alibaba.druid.bvt.sql.sqlserver.MSSQLServerExportParameterVisitorTest,4,1,0
com.alibaba.druid.sql.ast.statement.SQLCopyFromStatement,6,17,44
com.alibaba.druid.sql.dialect.infomix.parser.InformixStatementParser,3,2,1
com.alibaba.druid.bvt.sql.oracle.create.OracleCreateFunctionTest_1,4,1,0
com.alibaba.druid.bvt.sql.oracle.create.OracleCreateFunctionTest_0,5,1,0
com.alibaba.druid.support.profile.ProfileEntryStat,3,6,6
com.alibaba.druid.bvt.sql.oracle.create.OracleCreateFunctionTest_3,4,1,0
com.alibaba.druid.bvt.sql.oracle.createTable.OracleCreateTableTest89,4,1,0
com.alibaba.druid.bvt.sql.oracle.create.OracleCreateFunctionTest_2,4,1,0
com.alibaba.druid.spring.IUserDao,1,1,0
com.alibaba.druid.bvt.sql.oracle.AntlrScriptExamplesTest,1,2,0
com.alibaba.druid.bvt.sql.oracle.create.OracleCreateFunctionTest_5,4,1,0
